Sample, R1, STROBE, L
36160, 0, 0, 0
36628, 0, 1, 1
36634, 0, 0, 1
36639, 0, 1, 1
36644, 0, 0, 1
36649, 0, 1, 1
36655, 0, 0, 1
36659, 0, 1, 1
36665, 0, 0, 1
36669, 0, 1, 1
36675, 0, 0, 1
36680, 0, 1, 1
36685, 0, 0, 1
36690, 0, 1, 1
36695, 0, 0, 1
36700, 0, 1, 1
36706, 0, 0, 1
36710, 0, 1, 1
36716, 0, 0, 1
36721, 0, 1, 1
36726, 0, 0, 1
36731, 0, 1, 1
36736, 0, 0, 1
36741, 0, 1, 1
36747, 0, 0, 1
36751, 0, 1, 1
36757, 0, 0, 1
36762, 0, 1, 1
36767, 0, 0, 1
36772, 0, 0, 0
36853, 0, 0, 1
36854, 0, 1, 1
36859, 0, 0, 1
36864, 0, 1, 1
36870, 0, 0, 1
36874, 0, 1, 1
36880, 0, 0, 1
36884, 0, 1, 1
36890, 0, 0, 1
36895, 0, 1, 1
36900, 0, 0, 1
36905, 0, 1, 1
36911, 0, 0, 1
36915, 0, 1, 1
36921, 0, 0, 1
36925, 0, 1, 1
36931, 0, 0, 1
36936, 0, 1, 1
36941, 0, 0, 1
36946, 0, 1, 1
36951, 0, 0, 1
36956, 0, 1, 1
36962, 0, 0, 1
36966, 0, 1, 1
36972, 0, 0, 1
36976, 0, 0, 0
37059, 0, 1, 0
37064, 0, 0, 0
37069, 0, 1, 1
37074, 0, 0, 1
37079, 0, 1, 1
37085, 0, 0, 1
37089, 0, 1, 1
37095, 0, 0, 1
37099, 0, 0, 0
37181, 0, 1, 1
37187, 0, 0, 1
37192, 0, 1, 1
37197, 0, 0, 1
37202, 0, 1, 1
37207, 0, 0, 1
37212, 0, 1, 1
37218, 0, 0, 1
37222, 0, 1, 1
37228, 0, 0, 1
37233, 0, 1, 1
37238, 0, 0, 1
37243, 0, 1, 1
37248, 0, 0, 1
37253, 0, 1, 1
37259, 0, 0, 1
37263, 0, 1, 1
37269, 0, 0, 1
37274, 0, 1, 1
37279, 0, 0, 1
37284, 0, 1, 1
37289, 0, 0, 1
37294, 0, 1, 1
37300, 0, 0, 1
37304, 0, 1, 1
37310, 0, 0, 1
37315, 0, 1, 1
37320, 0, 0, 1
37325, 0, 0, 0
37407, 0, 1, 0
37412, 0, 0, 0
37417, 0, 1, 0
37423, 0, 0, 0
37427, 0, 1, 0
37433, 0, 0, 0
37437, 0, 1, 0
37443, 0, 0, 0
37448, 0, 1, 0
37453, 0, 0, 0
37458, 1, 1, 0
37464, 1, 0, 0
37468, 1, 1, 0
37474, 1, 0, 0
37478, 1, 1, 0
37484, 1, 0, 0
37488, 0, 0, 0
37489, 0, 1, 0
37494, 0, 0, 0
37498, 1, 0, 0
37499, 1, 1, 0
37504, 1, 0, 0
37509, 1, 1, 0
37515, 1, 0, 0
37519, 1, 1, 0
37525, 1, 0, 0
37529, 0, 0, 0
37530, 0, 1, 0
37535, 0, 0, 0
37540, 0, 1, 0
37545, 0, 0, 0
37550, 0, 1, 0
