Sample, R1, STROBE, L
176000, 0, 0, 0
176260, 0, 1, 1
176267, 0, 0, 1
176273, 0, 1, 1
176280, 0, 0, 1
176285, 0, 1, 1
176292, 0, 0, 1
176298, 0, 1, 1
176305, 0, 0, 1
176311, 0, 1, 1
176318, 0, 0, 1
176324, 0, 1, 1
176331, 0, 0, 1
176337, 0, 1, 1
176344, 0, 0, 1
176349, 0, 1, 1
176356, 0, 0, 1
176362, 0, 1, 1
176369, 0, 0, 1
176375, 0, 1, 1
176382, 0, 0, 1
176388, 0, 1, 1
176395, 0, 0, 1
176401, 0, 1, 1
176408, 0, 0, 1
176413, 0, 1, 1
176420, 0, 0, 1
176426, 0, 1, 1
176433, 0, 0, 1
176439, 0, 0, 0
176541, 0, 1, 1
176548, 0, 0, 1
176554, 0, 1, 1
176561, 0, 0, 1
176567, 0, 1, 1
176574, 0, 0, 1
176580, 0, 1, 1
176587, 0, 0, 1
176593, 0, 1, 1
176600, 0, 0, 1
176605, 0, 1, 1
176612, 0, 0, 1
176618, 0, 1, 1
176625, 0, 0, 1
176631, 0, 1, 1
176638, 0, 0, 1
176644, 0, 1, 1
176651, 0, 0, 1
176657, 0, 1, 1
176664, 0, 0, 1
176669, 0, 1, 1
176676, 0, 0, 1
176682, 0, 1, 1
176689, 0, 0, 1
176695, 0, 0, 0
176797, 0, 1, 0
176804, 0, 0, 0
176810, 0, 1, 1
176817, 0, 0, 1
176823, 0, 1, 1
176830, 0, 0, 1
176836, 0, 1, 1
176843, 0, 0, 1
176848, 0, 0, 0
176951, 0, 1, 1
176958, 0, 0, 1
176964, 0, 1, 1
176971, 0, 0, 1
176977, 0, 1, 1
176984, 0, 0, 1
176989, 0, 1, 1
176996, 0, 0, 1
177002, 0, 1, 1
177009, 0, 0, 1
177015, 0, 1, 1
177022, 0, 0, 1
177028, 0, 1, 1
177035, 0, 0, 1
177041, 0, 1, 1
177048, 0, 0, 1
177053, 0, 1, 1
177060, 0, 0, 1
177066, 0, 1, 1
177073, 0, 0, 1
177079, 0, 1, 1
177086, 0, 0, 1
177092, 0, 1, 1
177099, 0, 0, 1
177105, 0, 1, 1
177112, 0, 0, 1
177117, 0, 1, 1
177124, 0, 0, 1
177130, 0, 0, 0
177233, 0, 1, 0
177240, 0, 0, 0
177245, 0, 1, 0
177252, 0, 0, 0
177258, 0, 1, 0
177265, 0, 0, 0
177271, 0, 1, 0
177278, 0, 0, 0
177284, 0, 1, 0
177291, 0, 0, 0
177296, 1, 0, 0
177297, 1, 1, 0
177304, 1, 0, 0
177309, 1, 1, 0
177316, 1, 0, 0
177322, 1, 1, 0
177329, 1, 0, 0
177335, 0, 1, 0
177342, 0, 0, 0
177347, 1, 0, 0
177348, 1, 1, 0
177355, 1, 0, 0
177361, 1, 1, 0
177368, 1, 0, 0
177373, 1, 1, 0
177380, 1, 0, 0
177386, 0, 1, 0
177393, 0, 0, 0
177399, 0, 1, 0
177406, 0, 0, 0
177412, 0, 1, 0
177419, 0, 0, 0
177425, 0, 1, 0
177432, 0, 0, 0
