Sample, R1, STROBE, L
237440, 0, 0, 0
237938, 0, 1, 1
237944, 0, 0, 1
237949, 0, 1, 1
237954, 0, 0, 1
237959, 0, 1, 1
237964, 0, 0, 1
237969, 0, 1, 1
237975, 0, 0, 1
237979, 0, 1, 1
237985, 0, 0, 1
237989, 0, 1, 1
237995, 0, 0, 1
238000, 0, 1, 1
238005, 0, 0, 1
238010, 0, 1, 1
238016, 0, 0, 1
238020, 0, 1, 1
238026, 0, 0, 1
238030, 0, 1, 1
238036, 0, 0, 1
238041, 0, 1, 1
238046, 0, 0, 1
238051, 0, 1, 1
238057, 0, 0, 1
238061, 0, 1, 1
238067, 0, 0, 1
238071, 0, 1, 1
238077, 0, 0, 1
238081, 0, 0, 0
238163, 0, 0, 1
238164, 0, 1, 1
238169, 0, 0, 1
238174, 0, 1, 1
238179, 0, 0, 1
238184, 0, 1, 1
238190, 0, 0, 1
238194, 0, 1, 1
238200, 0, 0, 1
238205, 0, 1, 1
238210, 0, 0, 1
238215, 0, 1, 1
238220, 0, 0, 1
238225, 0, 1, 1
238231, 0, 0, 1
238235, 0, 1, 1
238241, 0, 0, 1
238245, 0, 1, 1
238251, 0, 0, 1
238256, 0, 1, 1
238261, 0, 0, 1
238266, 0, 1, 1
238272, 0, 0, 1
238276, 0, 1, 1
238282, 0, 0, 1
238286, 0, 0, 0
238368, 0, 1, 0
238374, 0, 0, 0
238378, 0, 0, 1
238379, 0, 1, 1
238384, 0, 0, 1
238389, 0, 1, 1
238394, 0, 0, 1
238399, 0, 1, 1
238405, 0, 0, 1
238409, 0, 0, 0
238491, 0, 1, 1
238497, 0, 0, 1
238501, 0, 1, 1
238507, 0, 0, 1
238512, 0, 1, 1
238517, 0, 0, 1
238522, 0, 1, 1
238528, 0, 0, 1
238532, 0, 1, 1
238538, 0, 0, 1
238542, 0, 1, 1
238548, 0, 0, 1
238553, 0, 1, 1
238558, 0, 0, 1
238563, 0, 1, 1
238569, 0, 0, 1
238573, 0, 1, 1
238579, 0, 0, 1
238583, 0, 1, 1
238589, 0, 0, 1
238594, 0, 1, 1
238599, 0, 0, 1
238604, 0, 1, 1
238610, 0, 0, 1
238614, 0, 1, 1
238620, 0, 0, 1
238624, 0, 1, 1
238630, 0, 0, 1
238634, 0, 0, 0
238717, 0, 1, 0
238722, 0, 0, 0
238727, 0, 1, 0
238732, 0, 0, 0
238737, 0, 1, 0
238743, 0, 0, 0
238747, 0, 1, 0
238753, 0, 0, 0
238758, 0, 1, 0
238763, 0, 0, 0
238767, 1, 0, 0
238768, 1, 1, 0
238773, 1, 0, 0
238778, 1, 1, 0
238784, 1, 0, 0
238788, 1, 1, 0
238794, 1, 0, 0
238798, 0, 1, 0
238804, 0, 0, 0
238808, 1, 0, 0
238809, 1, 1, 0
238814, 1, 0, 0
238819, 1, 1, 0
238825, 1, 0, 0
238829, 1, 1, 0
238835, 1, 0, 0
238839, 0, 1, 0
238845, 0, 0, 0
238850, 0, 1, 0
238855, 0, 0, 0
238860, 0, 1, 0
238866, 0, 0, 0
238870, 0, 1, 0
238876, 0, 0, 0
238880, 0, 1, 0
238886, 0, 0, 0
238891, 0, 1, 0
238896, 0, 0, 0
238901, 0, 1, 0
238906, 0, 0, 0
238911, 0, 1, 0
238917, 0, 0, 0
238921, 0, 1, 0
238927, 0, 0, 0
238931, 1, 0, 0
238932, 1, 1, 0
238937, 1, 0, 0
238942, 1, 1, 0
238947, 1, 0, 0
238952, 1, 1, 0
238958, 1, 0, 0
238962, 0, 1, 0
238968, 0, 0, 0
238972, 1, 0, 0
238973, 1, 1, 0
238978, 1, 0, 0
238983, 1, 1, 0
238988, 1, 0, 0
238993, 1, 1, 0
238999, 1, 0, 0
239003, 0, 1, 0
239009, 0, 0, 0
239014, 0, 1, 0
239019, 0, 0, 0
239024, 0, 1, 0
239029, 0, 0, 0
239034, 0, 1, 0
239040, 0, 0, 0
239044, 0, 1, 0
239050, 0, 0, 0
239054, 0, 1, 0
239060, 0, 0, 0
239065, 0, 1, 0
239070, 0, 0, 0
239075, 0, 1, 0
239081, 0, 0, 0
239085, 0, 1, 0
239091, 0, 0, 0
239095, 1, 1, 0
239101, 1, 0, 0
239106, 1, 1, 0
239111, 1, 0, 0
239116, 1, 1, 0
239122, 1, 0, 0
239126, 0, 1, 0
239132, 0, 0, 0
239136, 1, 1, 0
239142, 1, 0, 0
239147, 1, 1, 0
239152, 1, 0, 0
239157, 1, 1, 0
239162, 1, 0, 0
239167, 0, 1, 0
239173, 0, 0, 0
239177, 0, 1, 0
239183, 0, 0, 0
239188, 0, 1, 0
239193, 0, 0, 0
239198, 0, 1, 0
239203, 0, 0, 0
239208, 0, 1, 0
239214, 0, 0, 0
239218, 0, 1, 0
239224, 0, 0, 0
239229, 0, 1, 0
239234, 0, 0, 0
239239, 0, 1, 0
239244, 0, 0, 0
239249, 0, 1, 0
239255, 0, 0, 0
239259, 1, 1, 0
239265, 1, 0, 0
239270, 1, 1, 0
239275, 1, 0, 0
239280, 1, 1, 0
239285, 1, 0, 0
239290, 0, 1, 0
239296, 0, 0, 0
239300, 1, 1, 0
239306, 1, 0, 0
239310, 1, 1, 0
239316, 1, 0, 0
239321, 1, 1, 0
239326, 1, 0, 0
239331, 0, 1, 0
239337, 0, 0, 0
239341, 0, 1, 0
239347, 0, 0, 0
239351, 0, 1, 0
239357, 0, 0, 0
239362, 0, 1, 0
239367, 0, 0, 0
239372, 0, 1, 0
239378, 0, 0, 0
239382, 0, 1, 0
239388, 0, 0, 0
239392, 0, 1, 0
239398, 0, 0, 0
239403, 0, 1, 0
239408, 0, 0, 0
239413, 0, 1, 0
239419, 0, 0, 0
239423, 1, 1, 0
239429, 1, 0, 0
239433, 1, 1, 0
239439, 1, 0, 0
239444, 1, 1, 0
239449, 1, 0, 0
239454, 0, 1, 0
239459, 0, 0, 0
239464, 1, 1, 0
239470, 1, 0, 0
239474, 1, 1, 0
239480, 1, 0, 0
239485, 1, 1, 0
239490, 1, 0, 0
239494, 0, 0, 0
239495, 0, 1, 0
239500, 0, 0, 0
239505, 0, 1, 0
239511, 0, 0, 0
239515, 0, 1, 0
239521, 0, 0, 0
239526, 0, 1, 0
239531, 0, 0, 0
239536, 0, 1, 0
239541, 0, 0, 0
239546, 0, 1, 0
239552, 0, 0, 0
239556, 0, 1, 0
239562, 0, 0, 0
239566, 0, 1, 0
239572, 0, 0, 0
239577, 0, 1, 0
239582, 0, 0, 0
239587, 1, 1, 0
239593, 1, 0, 0
239597, 1, 1, 0
239603, 1, 0, 0
239607, 1, 1, 0
239613, 1, 0, 0
239617, 0, 0, 0
239618, 0, 1, 0
239623, 0, 0, 0
239628, 1, 1, 0
239634, 1, 0, 0
239638, 1, 1, 0
239644, 1, 0, 0
239648, 1, 1, 0
239654, 1, 0, 0
239658, 0, 0, 0
239659, 0, 1, 0
239664, 0, 0, 0
239669, 0, 1, 0
239675, 0, 0, 0
239679, 0, 1, 0
239685, 0, 0, 0
239689, 0, 1, 0
239695, 0, 0, 0
239700, 0, 1, 0
239705, 0, 0, 0
239710, 0, 1, 0
239715, 0, 0, 0
239720, 0, 1, 0
239726, 0, 0, 0
239730, 0, 1, 0
239736, 0, 0, 0
239741, 0, 1, 0
239746, 0, 0, 0
239750, 1, 0, 0
239751, 1, 1, 0
239756, 1, 0, 0
239761, 1, 1, 0
239767, 1, 0, 0
239771, 1, 1, 0
239777, 1, 0, 0
239781, 0, 0, 0
239782, 0, 1, 0
239787, 0, 0, 0
239791, 1, 0, 0
239792, 1, 1, 0
239797, 1, 0, 0
239802, 1, 1, 0
239808, 1, 0, 0
239812, 1, 1, 0
239818, 1, 0, 0
239822, 0, 0, 0
239823, 0, 1, 0
239828, 0, 0, 0
239833, 0, 1, 0
239838, 0, 0, 0
239843, 0, 1, 0
239849, 0, 0, 0
239853, 0, 1, 0
239859, 0, 0, 0
239863, 0, 1, 0
239869, 0, 0, 0
239874, 0, 1, 0
239879, 0, 0, 0
239884, 0, 1, 0
239890, 0, 0, 0
239894, 0, 1, 0
239900, 0, 0, 0
239904, 0, 1, 0
239910, 0, 0, 0
239914, 1, 0, 0
239915, 1, 1, 0
239920, 1, 0, 0
239925, 1, 1, 0
239931, 1, 0, 0
239935, 1, 1, 0
239941, 1, 0, 0
239945, 0, 1, 0
239951, 0, 0, 0
239955, 1, 0, 0
239956, 1, 1, 0
239961, 1, 0, 0
239966, 1, 1, 0
239971, 1, 0, 0
239976, 1, 1, 0
239982, 1, 0, 0
239986, 0, 1, 1
239992, 0, 0, 1
239997, 0, 1, 1
240002, 0, 0, 1
240007, 0, 1, 1
240012, 0, 0, 1
240017, 0, 1, 1
240023, 0, 0, 1
240027, 0, 0, 0
240109, 0, 1, 1
240115, 0, 0, 1
240119, 0, 1, 1
240125, 0, 0, 1
240130, 0, 1, 1
240135, 0, 0, 1
240140, 0, 1, 1
240146, 0, 0, 1
240150, 0, 1, 1
240156, 0, 0, 1
240160, 0, 1, 1
240166, 0, 0, 1
240171, 0, 1, 1
240176, 0, 0, 1
240181, 0, 1, 1
240187, 0, 0, 1
240191, 0, 1, 1
240197, 0, 0, 1
240201, 0, 1, 1
240207, 0, 0, 1
240212, 0, 1, 1
240217, 0, 0, 1
240222, 0, 1, 1
240227, 0, 0, 1
240232, 0, 1, 1
240238, 0, 0, 1
240242, 0, 1, 1
240248, 0, 0, 1
240252, 0, 0, 0
240335, 0, 1, 0
240340, 0, 0, 0
240344, 1, 0, 0
240345, 1, 1, 0
240350, 1, 0, 0
240355, 1, 1, 0
240361, 1, 0, 0
240365, 1, 1, 0
240371, 1, 0, 0
240375, 1, 1, 0
240381, 1, 0, 0
240386, 1, 1, 0
240391, 1, 0, 0
240396, 0, 1, 0
240402, 0, 0, 0
240406, 0, 1, 0
240412, 0, 0, 0
240416, 1, 1, 0
240422, 1, 0, 0
240426, 0, 0, 0
240427, 0, 1, 0
240432, 0, 0, 0
240437, 0, 1, 0
240443, 0, 0, 0
240447, 0, 1, 0
240453, 0, 0, 0
240457, 0, 1, 0
240463, 0, 0, 0
240468, 0, 1, 0
240473, 0, 0, 0
240478, 0, 1, 0
240484, 0, 0, 0
240488, 0, 1, 0
240494, 0, 0, 0
240498, 0, 1, 0
240504, 0, 0, 0
240508, 1, 0, 0
240509, 1, 1, 0
240514, 1, 0, 0
240519, 1, 1, 0
240524, 1, 0, 0
240529, 1, 1, 0
240535, 1, 0, 0
240539, 1, 1, 0
240545, 1, 0, 0
240550, 1, 1, 0
240555, 1, 0, 0
240559, 0, 0, 0
240560, 0, 1, 0
240565, 0, 0, 0
240570, 0, 1, 0
240576, 0, 0, 0
240580, 1, 1, 0
240586, 1, 0, 0
240590, 0, 0, 0
240591, 0, 1, 0
240596, 0, 0, 0
240601, 0, 1, 0
240606, 0, 0, 0
240611, 0, 1, 0
240617, 0, 0, 0
240621, 0, 1, 0
240627, 0, 0, 0
240631, 0, 1, 0
240637, 0, 0, 0
240642, 0, 1, 0
240647, 0, 0, 0
240652, 0, 1, 0
240658, 0, 0, 0
240662, 0, 1, 0
240668, 0, 0, 0
240672, 1, 1, 0
240678, 1, 0, 0
240683, 1, 1, 0
240688, 1, 0, 0
240693, 1, 1, 0
240699, 1, 0, 0
240703, 1, 1, 0
240709, 1, 0, 0
240713, 1, 1, 0
240719, 1, 0, 0
240723, 0, 0, 0
240724, 0, 1, 0
240729, 0, 0, 0
240734, 0, 1, 0
240740, 0, 0, 0
240744, 1, 1, 0
240750, 1, 0, 0
240754, 0, 1, 0
240760, 0, 0, 0
240765, 0, 1, 0
240770, 0, 0, 0
240775, 0, 1, 0
240780, 0, 0, 0
240785, 0, 1, 0
240791, 0, 0, 0
240795, 0, 1, 0
240801, 0, 0, 0
240806, 0, 1, 0
240811, 0, 0, 0
240816, 0, 1, 0
240821, 0, 0, 0
240826, 0, 1, 0
240832, 0, 0, 0
240836, 1, 1, 0
240842, 1, 0, 0
240847, 1, 1, 0
240852, 1, 0, 0
240857, 1, 1, 0
240862, 1, 0, 0
240867, 1, 1, 0
240873, 1, 0, 0
240877, 1, 1, 0
240883, 1, 0, 0
240887, 0, 0, 0
240888, 0, 1, 0
240893, 0, 0, 0
240898, 0, 1, 0
240903, 0, 0, 0
240908, 1, 1, 0
240914, 1, 0, 0
240918, 0, 1, 0
240924, 0, 0, 0
240928, 0, 1, 0
240934, 0, 0, 0
240939, 0, 1, 0
240944, 0, 0, 0
240949, 0, 1, 0
240955, 0, 0, 0
240959, 0, 1, 0
240965, 0, 0, 0
240969, 0, 1, 0
240975, 0, 0, 0
240980, 0, 1, 0
240985, 0, 0, 0
240990, 0, 1, 0
240996, 0, 0, 0
241000, 1, 1, 0
241006, 1, 0, 0
241010, 1, 1, 0
241016, 1, 0, 0
241021, 1, 1, 0
241026, 1, 0, 0
241031, 1, 1, 0
241036, 1, 0, 0
241041, 1, 1, 0
241047, 1, 0, 0
241051, 0, 1, 0
241057, 0, 0, 0
241062, 0, 1, 0
241067, 0, 0, 0
241071, 1, 0, 0
241072, 1, 1, 0
241077, 1, 0, 0
241082, 0, 1, 0
241088, 0, 0, 0
241092, 0, 1, 0
241098, 0, 0, 0
241103, 0, 1, 0
241108, 0, 0, 0
241113, 0, 1, 0
241118, 0, 0, 0
241123, 0, 1, 0
241129, 0, 0, 0
241133, 0, 1, 0
241139, 0, 0, 0
241144, 0, 1, 0
241149, 0, 0, 0
241154, 0, 1, 0
241159, 0, 0, 0
241164, 1, 1, 0
241170, 1, 0, 0
241174, 1, 1, 0
241180, 1, 0, 0
241184, 1, 1, 0
241190, 1, 0, 0
241195, 1, 1, 0
241200, 1, 0, 0
241205, 1, 1, 0
241211, 1, 0, 0
241215, 0, 1, 0
241221, 0, 0, 0
241225, 0, 1, 0
241231, 0, 0, 0
241235, 1, 0, 0
241236, 1, 1, 0
241241, 1, 0, 0
241246, 0, 1, 0
241252, 0, 0, 0
241256, 0, 1, 0
241262, 0, 0, 0
241266, 0, 1, 0
241272, 0, 0, 0
241277, 0, 1, 0
241282, 0, 0, 0
241287, 0, 1, 0
241292, 0, 0, 0
241297, 0, 1, 0
241303, 0, 0, 0
241307, 0, 1, 0
241313, 0, 0, 0
241318, 0, 1, 0
241323, 0, 0, 0
241327, 1, 0, 0
241328, 1, 1, 0
241333, 1, 0, 0
241338, 1, 1, 0
241344, 1, 0, 0
241348, 1, 1, 0
241354, 1, 0, 0
241359, 1, 1, 0
241364, 1, 0, 0
241369, 1, 1, 0
241374, 1, 0, 0
241379, 0, 1, 0
241385, 0, 0, 0
241389, 0, 1, 0
241395, 0, 0, 0
241399, 1, 0, 0
241400, 1, 1, 0
241405, 1, 0, 0
241409, 0, 0, 0
241410, 0, 1, 0
241415, 0, 0, 0
241420, 0, 1, 0
241426, 0, 0, 0
241430, 0, 1, 0
241436, 0, 0, 0
241440, 0, 1, 0
241446, 0, 0, 0
241451, 0, 1, 0
241456, 0, 0, 0
241461, 0, 1, 0
241467, 0, 0, 0
241471, 0, 1, 0
241477, 0, 0, 0
241481, 0, 1, 0
241487, 0, 0, 0
241491, 1, 0, 0
241492, 1, 1, 0
241497, 1, 0, 0
241502, 1, 1, 0
241508, 1, 0, 0
241512, 1, 1, 0
241518, 1, 0, 0
241522, 1, 1, 0
241528, 1, 0, 0
241533, 1, 1, 0
241538, 1, 0, 0
241543, 0, 1, 0
241549, 0, 0, 0
241553, 0, 1, 0
241559, 0, 0, 0
241563, 1, 1, 0
241569, 1, 0, 0
241573, 0, 0, 0
241574, 0, 1, 0
241579, 0, 0, 0
241584, 0, 1, 1
241589, 0, 0, 1
241594, 0, 1, 1
241600, 0, 0, 1
241604, 0, 1, 1
241610, 0, 0, 1
241615, 0, 1, 1
241620, 0, 0, 1
241625, 0, 1, 1
241630, 0, 0, 1
241635, 0, 1, 1
241641, 0, 0, 1
241645, 0, 0, 0
241727, 0, 1, 1
241733, 0, 0, 1
241737, 0, 1, 1
241743, 0, 0, 1
241748, 0, 1, 1
241753, 0, 0, 1
241758, 0, 1, 1
241764, 0, 0, 1
241768, 0, 1, 1
241774, 0, 0, 1
241778, 0, 1, 1
241784, 0, 0, 1
241789, 0, 1, 1
241794, 0, 0, 1
241799, 0, 1, 1
241805, 0, 0, 1
241809, 0, 1, 1
241815, 0, 0, 1
241819, 0, 1, 1
241825, 0, 0, 1
241830, 0, 1, 1
241835, 0, 0, 1
241840, 0, 1, 1
241845, 0, 0, 1
241850, 0, 1, 1
241856, 0, 0, 1
241860, 0, 1, 1
241866, 0, 0, 1
241870, 0, 0, 0
241953, 0, 1, 0
241958, 0, 0, 0
241962, 1, 0, 0
241963, 1, 1, 0
241968, 1, 0, 0
241973, 0, 1, 0
241979, 0, 0, 0
241983, 0, 1, 0
241989, 0, 0, 0
241993, 0, 1, 0
241999, 0, 0, 0
242004, 0, 1, 0
242009, 0, 0, 0
242014, 0, 1, 0
242020, 0, 0, 0
242024, 0, 1, 0
242030, 0, 0, 0
242034, 1, 1, 0
242040, 1, 0, 0
242045, 1, 1, 0
242050, 1, 0, 0
242055, 1, 1, 0
242061, 1, 0, 0
242065, 1, 1, 0
242071, 1, 0, 0
242075, 0, 1, 0
242081, 0, 0, 0
242085, 1, 0, 0
242086, 1, 1, 0
242091, 1, 0, 0
242096, 1, 1, 0
242101, 1, 0, 0
242106, 1, 1, 0
242112, 1, 0, 0
242116, 0, 1, 0
242122, 0, 0, 0
242126, 1, 0, 0
242127, 1, 1, 0
242132, 1, 0, 0
242137, 0, 1, 0
242142, 0, 0, 0
242147, 0, 1, 0
242153, 0, 0, 0
242157, 0, 1, 0
242163, 0, 0, 0
242168, 0, 1, 0
242173, 0, 0, 0
242178, 0, 1, 0
242183, 0, 0, 0
242188, 0, 1, 0
242194, 0, 0, 0
242198, 1, 1, 0
242204, 1, 0, 0
242209, 1, 1, 0
242214, 1, 0, 0
242219, 1, 1, 0
242224, 1, 0, 0
242229, 1, 1, 0
242235, 1, 0, 0
242239, 0, 1, 0
242245, 0, 0, 0
242249, 1, 1, 0
242255, 1, 0, 0
242260, 1, 1, 0
242265, 1, 0, 0
242270, 1, 1, 0
242276, 1, 0, 0
242280, 0, 1, 0
242286, 0, 0, 0
242290, 1, 1, 0
242296, 1, 0, 0
242300, 0, 0, 0
242301, 0, 1, 0
242306, 0, 0, 0
242311, 0, 1, 0
242317, 0, 0, 0
242321, 0, 1, 0
242327, 0, 0, 0
242331, 0, 1, 0
242337, 0, 0, 0
242342, 0, 1, 0
242347, 0, 0, 0
242352, 0, 1, 0
242358, 0, 0, 0
242362, 1, 1, 0
242368, 1, 0, 0
242372, 1, 1, 0
242378, 1, 0, 0
242383, 1, 1, 0
242388, 1, 0, 0
242393, 1, 1, 0
242398, 1, 0, 0
242403, 0, 1, 0
242409, 0, 0, 0
242413, 1, 1, 0
242419, 1, 0, 0
242424, 1, 1, 0
242429, 1, 0, 0
242434, 1, 1, 0
242439, 1, 0, 0
242444, 0, 1, 0
242450, 0, 0, 0
242454, 1, 1, 0
242460, 1, 0, 0
242464, 0, 0, 0
242465, 0, 1, 0
242470, 0, 0, 0
242475, 0, 1, 0
242480, 0, 0, 0
242485, 0, 1, 0
242491, 0, 0, 0
