Sample, R1, STROBE, L
153040, 0, 0, 0
153070, 0, 1, 1
153077, 0, 0, 1
153083, 0, 1, 1
153090, 0, 0, 1
153096, 0, 1, 1
153103, 0, 0, 1
153109, 0, 1, 1
153116, 0, 0, 1
153121, 0, 1, 1
153128, 0, 0, 1
153134, 0, 1, 1
153141, 0, 0, 1
153147, 0, 1, 1
153154, 0, 0, 1
153160, 0, 1, 1
153167, 0, 0, 1
153173, 0, 1, 1
153180, 0, 0, 1
153185, 0, 1, 1
153192, 0, 0, 1
153198, 0, 1, 1
153205, 0, 0, 1
153211, 0, 1, 1
153218, 0, 0, 1
153224, 0, 1, 1
153231, 0, 0, 1
153237, 0, 1, 1
153244, 0, 0, 1
153249, 0, 0, 0
153352, 0, 1, 1
153359, 0, 0, 1
153365, 0, 1, 1
153372, 0, 0, 1
153377, 0, 1, 1
153384, 0, 0, 1
153390, 0, 1, 1
153397, 0, 0, 1
153403, 0, 1, 1
153410, 0, 0, 1
153416, 0, 1, 1
153423, 0, 0, 1
153429, 0, 1, 1
153436, 0, 0, 1
153441, 0, 1, 1
153448, 0, 0, 1
153454, 0, 1, 1
153461, 0, 0, 1
153467, 0, 1, 1
153474, 0, 0, 1
153480, 0, 1, 1
153487, 0, 0, 1
153493, 0, 1, 1
153500, 0, 0, 1
153505, 0, 0, 0
153608, 0, 1, 0
153615, 0, 0, 0
153620, 0, 0, 1
153621, 0, 1, 1
153628, 0, 0, 1
153633, 0, 1, 1
153640, 0, 0, 1
153646, 0, 1, 1
153653, 0, 0, 1
153659, 0, 0, 0
153761, 0, 1, 1
153768, 0, 0, 1
153774, 0, 1, 1
153781, 0, 0, 1
153787, 0, 1, 1
153794, 0, 0, 1
153800, 0, 1, 1
153807, 0, 0, 1
153813, 0, 1, 1
153820, 0, 0, 1
153825, 0, 1, 1
153833, 0, 0, 1
153838, 0, 1, 1
153845, 0, 0, 1
153851, 0, 1, 1
153858, 0, 0, 1
153864, 0, 1, 1
153871, 0, 0, 1
153877, 0, 1, 1
153884, 0, 0, 1
153889, 0, 1, 1
153897, 0, 0, 1
153902, 0, 1, 1
153909, 0, 0, 1
153915, 0, 1, 1
153922, 0, 0, 1
153928, 0, 1, 1
153935, 0, 0, 1
153940, 0, 0, 0
154043, 0, 1, 0
154050, 0, 0, 0
154056, 0, 1, 0
154063, 0, 0, 0
154069, 0, 1, 0
154076, 0, 0, 0
154081, 0, 1, 0
154089, 0, 0, 0
154094, 0, 1, 0
154101, 0, 0, 0
154107, 1, 1, 0
154114, 1, 0, 0
154120, 1, 1, 0
154127, 1, 0, 0
154133, 1, 1, 0
154140, 1, 0, 0
154145, 0, 0, 0
154146, 0, 1, 0
154153, 0, 0, 0
154158, 1, 1, 0
154165, 1, 0, 0
154171, 1, 1, 0
154178, 1, 0, 0
154184, 1, 1, 0
154191, 1, 0, 0
154196, 0, 0, 0
154197, 0, 1, 0
154204, 0, 0, 0
154210, 0, 1, 0
154217, 0, 0, 0
154222, 0, 1, 0
154229, 0, 0, 0
154235, 0, 1, 0
154242, 0, 0, 0
154248, 0, 1, 0
154255, 0, 0, 0
154261, 0, 1, 0
154268, 0, 0, 0
154273, 0, 1, 0
154281, 0, 0, 0
154286, 0, 1, 0
154293, 0, 0, 0
154299, 0, 1, 0
154306, 0, 0, 0
154311, 1, 0, 0
154312, 1, 1, 0
154319, 1, 0, 0
154325, 1, 1, 0
154332, 1, 0, 0
154338, 1, 1, 0
154345, 1, 0, 0
154350, 0, 1, 0
154357, 0, 0, 0
154363, 1, 1, 0
154370, 1, 0, 0
154376, 1, 1, 0
154383, 1, 0, 0
154389, 1, 1, 0
154396, 1, 0, 0
154401, 0, 0, 0
154402, 0, 1, 0
154409, 0, 0, 0
154414, 0, 1, 0
154421, 0, 0, 0
154427, 0, 1, 0
154434, 0, 0, 0
154440, 0, 1, 0
154447, 0, 0, 0
154453, 0, 1, 0
