Sample, R1, STROBE, L
484000, 0, 0, 0
486299, 0, 1, 1
486307, 0, 0, 1
486312, 0, 1, 1
486319, 0, 0, 1
486325, 0, 1, 1
486332, 0, 0, 1
486338, 0, 1, 1
486345, 0, 0, 1
486351, 0, 1, 1
486358, 0, 0, 1
486364, 0, 1, 1
486371, 0, 0, 1
486376, 0, 1, 1
486383, 0, 0, 1
486389, 0, 1, 1
486396, 0, 0, 1
486402, 0, 1, 1
486409, 0, 0, 1
486415, 0, 1, 1
486422, 0, 0, 1
486428, 0, 1, 1
486435, 0, 0, 1
486440, 0, 1, 1
486447, 0, 0, 1
486453, 0, 1, 1
486460, 0, 0, 1
486466, 0, 1, 1
486473, 0, 0, 1
486478, 0, 0, 0
486581, 0, 1, 1
486588, 0, 0, 1
486594, 0, 1, 1
486601, 0, 0, 1
486607, 0, 1, 1
486614, 0, 0, 1
486620, 0, 1, 1
486627, 0, 0, 1
486632, 0, 1, 1
486639, 0, 0, 1
486645, 0, 1, 1
486652, 0, 0, 1
486658, 0, 1, 1
486665, 0, 0, 1
486671, 0, 1, 1
486678, 0, 0, 1
486684, 0, 1, 1
486691, 0, 0, 1
486696, 0, 1, 1
486703, 0, 0, 1
486709, 0, 1, 1
486716, 0, 0, 1
486722, 0, 1, 1
486729, 0, 0, 1
486734, 0, 0, 0
486837, 0, 1, 0
486844, 0, 0, 0
486850, 0, 1, 1
486857, 0, 0, 1
486863, 0, 1, 1
486870, 0, 0, 1
486876, 0, 1, 1
486883, 0, 0, 1
486888, 0, 0, 0
486990, 0, 0, 1
486991, 0, 1, 1
486998, 0, 0, 1
487004, 0, 1, 1
487011, 0, 0, 1
487016, 0, 1, 1
487023, 0, 0, 1
487029, 0, 1, 1
487036, 0, 0, 1
487042, 0, 1, 1
487049, 0, 0, 1
487055, 0, 1, 1
487062, 0, 0, 1
487068, 0, 1, 1
487075, 0, 0, 1
487080, 0, 1, 1
487087, 0, 0, 1
487093, 0, 1, 1
487100, 0, 0, 1
487106, 0, 1, 1
487113, 0, 0, 1
487119, 0, 1, 1
487126, 0, 0, 1
487132, 0, 1, 1
487139, 0, 0, 1
487144, 0, 1, 1
487151, 0, 0, 1
487157, 0, 1, 1
487164, 0, 0, 1
487170, 0, 0, 0
487272, 0, 1, 0
487279, 0, 0, 0
487285, 0, 1, 0
487292, 0, 0, 0
487298, 0, 1, 0
487305, 0, 0, 0
487311, 0, 1, 0
487318, 0, 0, 0
487324, 0, 1, 0
487331, 0, 0, 0
487336, 1, 1, 0
487343, 1, 0, 0
487349, 1, 1, 0
487356, 1, 0, 0
487362, 1, 1, 0
487369, 1, 0, 0
487374, 0, 0, 0
487375, 0, 1, 0
487382, 0, 0, 0
487387, 1, 0, 0
487388, 1, 1, 0
